,match_date,home_team,away_team,home_team_avg_home_goals,home_team_avg_total_goals,away_team_avg_away_goals,away_team_avg_total_goals,home_team_form_score,away_team_form_score,odds_home_team,odds_away_team,odds_draw
163,2024-04-27,Real Sociedad,Real Madrid,1.4,1.4,1.8,2.2,0.5,4.5,1000.0,1.02,85.0
164,2024-04-27,Barcelona,Valencia,2.1,2.0,1.0,1.1,2.0,1.0,1.38,9.4,5.8
165,2024-04-22,Sevilla,Mallorca,1.4,1.3,0.7,0.8,1.0,0.0,2.18,4.4,3.2
166,2024-04-21,Real Madrid,Barcelona,2.5,2.2,1.9,2.0,4.0,4.0,1.86,4.3,4.4
167,2024-04-21,Getafe,Real Sociedad,1.2,1.2,1.4,1.5,-1.0,1.5,4.0,2.34,3.15
168,2024-04-21,Alaves,Atletico Madrid,1.0,0.8,1.5,1.9,-3.0,1.0,5.2,1.93,3.5
169,2024-04-20,Valencia,Betis,1.2,1.1,1.0,1.2,2.0,-1.5,2.72,3.15,3.2
170,2024-04-20,Rayo Vallecano,Osasuna,0.9,0.8,1.3,1.2,0.0,-1.0,2.22,4.4,3.15
171,2024-04-20,Celta Vigo,Las Palmas,0.7,1.1,0.8,0.9,0.0,-3.5,1.71,6.0,4.0
172,2024-04-15,Osasuna,Valencia,1.1,1.2,1.0,1.1,0.0,0.5,2.48,3.6,3.15
173,2024-04-14,Las Palmas,Sevilla,1.1,1.0,1.1,1.2,-3.5,0.0,3.05,2.74,3.35
174,2024-04-14,Athletic Bilbao,Villarreal,2.4,1.7,1.6,1.6,1.0,2.0,1.68,5.7,4.4
175,2024-04-13,Rayo Vallecano,Getafe,1.0,0.8,1.3,1.2,-0.5,-1.5,2.44,3.8,3.1
176,2024-04-13,Mallorca,Real Madrid,0.9,0.8,1.9,2.2,0.0,3.5,5.6,1.82,3.7
177,2024-04-13,Atletico Madrid,Girona,2.3,1.9,1.6,2.1,0.0,0.5,1.96,4.3,4.0
178,2024-04-12,Betis,Celta Vigo,1.4,1.2,1.5,1.1,-3.0,0.0,2.04,4.3,3.6
179,2024-04-06,Athletic Bilbao,Mallorca,2.4,1.7,0.7,0.8,1.0,0.0,1.74,6.6,3.65
180,2024-04-01,Villarreal,Atletico Madrid,1.7,1.6,1.4,1.9,3.5,-1.0,3.35,2.26,3.85
181,2024-03-31,Real Madrid,Athletic Bilbao,2.5,2.2,1.0,1.7,3.0,2.0,1.63,6.6,4.4
182,2024-03-31,Girona,Betis,2.5,2.0,0.9,1.2,-1.5,-2.0,1.77,5.2,4.1
183,2024-03-31,Celta Vigo,Rayo Vallecano,0.7,1.1,0.7,0.9,0.0,-1.0,1.96,5.0,3.5
